GKZ,name,fl_suv,indicator_code,indicator_name,indicator_desc
07211000,"Trier, kreisfreie Stadt",32.56,fl_suv,Anteil der Siedlungs- und Verkehrsfläche an der Gesamtfläche im Jahr 2020 in %,
07231000,Bernkastel-Wittlich,12.2,fl_suv,Anteil der Siedlungs- und Verkehrsfläche an der Gesamtfläche im Jahr 2020 in %,
07232000,Eifelkreis Bitburg-Prüm,10.61,fl_suv,Anteil der Siedlungs- und Verkehrsfläche an der Gesamtfläche im Jahr 2020 in %,
07233000,Vulkaneifel,11.2,fl_suv,Anteil der Siedlungs- und Verkehrsfläche an der Gesamtfläche im Jahr 2020 in %,
07235000,Trier-Saarburg,13.11,fl_suv,Anteil der Siedlungs- und Verkehrsfläche an der Gesamtfläche im Jahr 2020 in %,
07311000,"Frankenthal (Pfalz), kreisfreie Stadt",37.31,fl_suv,Anteil der Siedlungs- und Verkehrsfläche an der Gesamtfläche im Jahr 2020 in %,
07312000,"Kaiserslautern, kreisfreie Stadt",29.53,fl_suv,Anteil der Siedlungs- und Verkehrsfläche an der Gesamtfläche im Jahr 2020 in %,
07313000,"Landau in der Pfalz, kreisfreie Stadt",24.95,fl_suv,Anteil der Siedlungs- und Verkehrsfläche an der Gesamtfläche im Jahr 2020 in %,
07314000,"Ludwigshafen am Rhein, kreisfreie Stadt",61.15,fl_suv,Anteil der Siedlungs- und Verkehrsfläche an der Gesamtfläche im Jahr 2020 in %,
07315000,"Mainz, kreisfreie Stadt",49.21,fl_suv,Anteil der Siedlungs- und Verkehrsfläche an der Gesamtfläche im Jahr 2020 in %,
07316000,"Neustadt an der Weinstraße, kreisfreie Stadt",20.04,fl_suv,Anteil der Siedlungs- und Verkehrsfläche an der Gesamtfläche im Jahr 2020 in %,
07317000,"Pirmasens, kreisfreie Stadt",31.85,fl_suv,Anteil der Siedlungs- und Verkehrsfläche an der Gesamtfläche im Jahr 2020 in %,
07318000,"Speyer, kreisfreie Stadt",44.86,fl_suv,Anteil der Siedlungs- und Verkehrsfläche an der Gesamtfläche im Jahr 2020 in %,
07319000,"Worms, kreisfreie Stadt",30.38,fl_suv,Anteil der Siedlungs- und Verkehrsfläche an der Gesamtfläche im Jahr 2020 in %,
07320000,"Zweibrücken, kreisfreie Stadt",28.07,fl_suv,Anteil der Siedlungs- und Verkehrsfläche an der Gesamtfläche im Jahr 2020 in %,
07331000,Alzey-Worms,15.54,fl_suv,Anteil der Siedlungs- und Verkehrsfläche an der Gesamtfläche im Jahr 2020 in %,
